roll_number,department,credit,course_name,course_type,grade,Grade Numerical Value,Total Credits
521087,CSE,4,CSE122,core,CC,6,24
461971,CE,3,MA246,alc,BB,8,24
517837,CH,4,MA914,minor,AA,10,40
955757,MM,4,ME115,department_elective,CC,6,24
847809,IE,3,IE736,core,BC,7,21
781075,CE,4,MA546,flexible_elective,BC,7,28
781075,CE,6,CE161,core,AA,10,60
879634,EP,6,ME326,hasmed_elective,AB,9,54
703403,EC,6,EC790,honours,AB,9,54
716985,MM,6,CSE139,minor,AA,10,60
194063,EP,4,EE999,minor,CC,6,24
265922,EP,8,ME880,minor,AA,10,80
344265,CSE,4,MM804,alc,CC,6,24
283796,ME,8,ME440,core,AB,9,72
981238,MM,6,MM841,core,AP,10,60
517837,CH,6,ME466,minor,AB,9,54
721490,EP,4,EP728,core,AP,10,40
203200,CH,6,CH670,core,BB,8,48
482623,IE,6,EE227,minor,AB,9,54
588946,MA,8,MA720,core,BB,8,64
589528,EE,4,EE802,core,AP,10,40
986057,ME,8,MA619,department_elective,AP,10,80
180828,CSE,4,CSE165,core,AB,9,36
716985,MM,4,MM175,core,AA,10,40
145372,EP,4,MA141,hasmed_elective,AA,10,40
301135,IE,4,IE212,honours,AB,9,36
327122,MM,3,CSE331,department_elective,CC,6,18
973158,EE,8,EE231,department_elective,AP,10,80
381526,CE,4,CE866,core,AP,10,40
781075,CE,3,EE197,hasmed_elective,AA,10,30
703403,EC,6,EE144,alc,BB,8,48
788020,CE,8,CE561,core,AB,9,72
534763,MA,3,EC360,alc,AA,10,30
270007,IE,6,CE146,flexible_elective,CC,6,36
214270,CH,3,EP311,department_elective,AB,9,27
391848,ME,3,EE780,hasmed_elective,AB,9,27
180828,CSE,4,CE654,flexible_elective,CC,6,24
680096,CH,4,CH624,core,AA,10,40
329535,EC,3,EP695,minor,AB,9,27
571782,ME,8,EE290,alc,BB,8,64
781075,CE,6,CH970,flexible_elective,BC,7,42
180828,CSE,3,MM660,hasmed_elective,AA,10,30
971123,MA,4,EC690,department_elective,CC,6,24
482623,IE,8,EC505,minor,AA,10,80
207443,ME,4,CE922,minor,BB,8,32
836431,EE,8,ME782,department_elective,CC,6,48
488661,EE,4,EE547,core,AB,9,36
810863,CE,8,IE273,alc,AP,10,80
810863,CE,8,EP673,minor,CC,6,48
782129,MA,3,EE636,alc,AB,9,27
928288,CSE,8,CSE236,alc,AB,9,72
143856,CE,4,IE926,department_elective,BB,8,32
581858,MA,8,MA194,honours,AB,9,72
733782,CH,3,EE832,department_elective,AB,9,27
716985,MM,6,MM142,department_elective,BB,8,48
282482,MM,8,ME551,department_elective,CC,6,48
572815,CSE,3,CE345,hasmed_elective,CC,6,18
145372,EP,6,MA866,alc,BB,8,48
608952,EP,4,EP962,honours,AB,9,36
517837,CH,8,MM887,hasmed_elective,AA,10,80
773982,EE,8,EE775,core,AB,9,72
628849,MA,6,MA470,honours,AA,10,60
845623,EE,4,MA569,flexible_elective,AB,9,36
630568,EP,4,EP361,core,AA,10,40
582912,CH,8,CE124,hasmed_elective,AP,10,80
845623,EE,4,MM754,department_elective,BC,7,28
716985,MM,3,EP156,flexible_elective,AP,10,30
270007,IE,6,IE298,honours,AA,10,60
388969,CSE,4,EC223,department_elective,AP,10,40
159438,EE,3,ME585,alc,AB,9,27
478606,CE,3,EE261,alc,BB,8,24
973158,EE,4,ME629,minor,BB,8,32
329535,EC,6,CSE342,alc,AP,10,60
981238,MM,4,CH632,hasmed_elective,BB,8,32
995208,ME,6,EC583,flexible_elective,BC,7,42
960395,EE,8,EE567,core,AA,10,80
581858,MA,8,MA905,core,AA,10,80
981238,MM,3,CH746,hasmed_elective,AP,10,30
781075,CE,8,EP245,department_elective,BC,7,56
488661,EE,3,EC610,department_elective,AP,10,30
124663,EE,6,CSE195,alc,AB,9,54
841365,MA,4,ME752,department_elective,AP,10,40
282482,MM,4,MM152,core,AB,9,36
572815,CSE,4,CSE927,honours,AA,10,40
589528,EE,3,MA116,alc,AB,9,27
870642,MM,4,EP813,hasmed_elective,BC,7,28
970791,MA,6,MA191,honours,CC,6,36
124663,EE,4,CSE242,alc,CC,6,24
143142,CSE,6,CH516,minor,AA,10,60
970791,MA,6,MM767,minor,AB,9,54
282482,MM,6,MM157,core,BC,7,42
998293,ME,6,EP827,hasmed_elective,AP,10,60
214270,CH,8,CH986,hasmed_elective,CC,6,48
144528,ME,3,ME286,honours,CC,6,18
482623,IE,3,CSE118,minor,AP,10,30
478606,CE,6,MM953,hasmed_elective,BB,8,48
379479,MA,3,MA342,core,AA,10,30
907454,CSE,6,IE235,minor,BB,8,48
478606,CE,3,MM312,hasmed_elective,AP,10,30
681499,CH,3,EE974,alc,AA,10,30
628849,MA,6,EP192,department_elective,AA,10,60
888886,CE,8,IE135,minor,AA,10,80
613401,CE,6,CE251,honours,AP,10,60
608522,EC,3,MM286,minor,BB,8,24
144528,ME,4,ME846,honours,AA,10,40
203200,CH,3,CH931,core,BB,8,24
344265,CSE,4,EE257,hasmed_elective,AP,10,40
362471,EE,3,CSE786,hasmed_elective,AB,9,27
571782,ME,6,MA131,minor,AB,9,54
381526,CE,4,MA985,alc,AA,10,40
465496,MA,8,EE976,alc,AP,10,80
482623,IE,8,IE123,core,CC,6,48
381526,CE,8,EC269,department_elective,BC,7,56
571782,ME,6,CSE349,alc,BC,7,42
608952,EP,8,ME107,minor,BB,8,64
150503,CH,3,MA554,alc,BB,8,24
301135,IE,4,IE794,honours,AB,9,36
329535,EC,8,EP973,minor,CC,6,48
143856,CE,3,EP448,flexible_elective,CC,6,18
327122,MM,4,EP486,alc,AB,9,36
143856,CE,8,ME287,minor,CC,6,48
145372,EP,8,CH307,hasmed_elective,CC,6,48
208100,EE,4,CH702,flexible_elective,AP,10,40
194063,EP,3,CSE741,alc,AA,10,30
981238,MM,3,MA774,department_elective,AB,9,27
465496,MA,8,MA415,core,AP,10,80
971123,MA,3,EE342,hasmed_elective,BC,7,21
364146,MA,8,IE186,flexible_elective,BB,8,64
973158,EE,8,ME831,alc,AA,10,80
138296,MM,4,MM602,honours,BC,7,28
597353,CSE,3,CSE244,alc,AB,9,27
775967,EC,6,MA300,department_elective,AP,10,60
981238,MM,3,ME966,minor,BB,8,24
973158,EE,4,CH643,hasmed_elective,AP,10,40
692318,CSE,6,EE692,department_elective,AB,9,54
282482,MM,4,MA812,hasmed_elective,AB,9,36
478606,CE,4,CE534,honours,CC,6,24
571782,ME,6,ME984,honours,BC,7,42
388969,CSE,8,CH531,department_elective,BB,8,64
680096,CH,8,CH659,honours,BB,8,64
995208,ME,4,ME723,core,BB,8,32
124663,EE,6,EE713,honours,BC,7,42
773982,EE,3,MM404,minor,CC,6,18
461584,EE,6,IE479,flexible_elective,AP,10,60
716985,MM,3,MM429,honours,AB,9,27
998293,ME,8,CH140,flexible_elective,AA,10,80
721490,EP,4,EP638,core,AA,10,40
521087,CSE,6,EE401,department_elective,AB,9,54
608522,EC,3,EE940,hasmed_elective,AA,10,30
692318,CSE,6,EE357,alc,BC,7,42
960395,EE,4,MM914,minor,AA,10,40
344265,CSE,8,EE276,flexible_elective,AB,9,72
465496,MA,4,MA441,flexible_elective,AA,10,40
810863,CE,3,EP672,department_elective,AB,9,27
571782,ME,3,ME452,honours,AP,10,30
358405,MA,6,IE673,flexible_elective,BB,8,48
630568,EP,8,EP540,department_elective,AP,10,80
879634,EP,8,MA575,alc,AP,10,80
718510,EP,4,EP840,core,BB,8,32
571782,ME,8,ME950,honours,AB,9,72
485484,MM,3,MM173,honours,CC,6,18
589528,EE,3,EC429,alc,BC,7,21
845623,EE,8,CH145,hasmed_elective,AB,9,72
888886,CE,4,CE852,core,AB,9,36
626000,EC,3,EC180,honours,AB,9,27
781075,CE,4,CH752,flexible_elective,AP,10,40
214270,CH,8,EE499,department_elective,BC,7,56
775967,EC,8,CSE107,flexible_elective,BB,8,64
841365,MA,8,CE372,alc,BB,8,64
995208,ME,6,EE520,alc,AA,10,60
971123,MA,6,MA756,honours,AA,10,60
270007,IE,3,MM938,minor,BC,7,21
981238,MM,3,CH740,minor,AP,10,30
138296,MM,3,CH367,department_elective,BC,7,21
358405,MA,6,EC871,flexible_elective,BC,7,42
781075,CE,8,CE327,core,AP,10,80
207443,ME,3,ME465,core,AP,10,30
458200,EC,6,EC498,honours,BB,8,48
199713,EE,8,EE765,core,AA,10,80
581858,MA,4,MA779,honours,AP,10,40
845623,EE,4,EE828,honours,AA,10,40
214270,CH,4,CE784,department_elective,AP,10,40
581065,EP,4,CE157,flexible_elective,BB,8,32
787967,EC,6,MA868,hasmed_elective,BB,8,48
788020,CE,4,EP483,alc,AA,10,40
613401,CE,6,CE965,flexible_elective,CC,6,36
841365,MA,4,EC564,hasmed_elective,CC,6,24
517837,CH,4,CH612,core,BC,7,28
841365,MA,6,EP332,hasmed_elective,CC,6,36
960395,EE,4,CE108,minor,CC,6,24
364146,MA,4,CE539,department_elective,AB,9,36
773982,EE,3,EE578,alc,AA,10,30
836881,MM,8,ME862,hasmed_elective,BC,7,56
787967,EC,8,EC188,honours,CC,6,48
270007,IE,4,CSE184,alc,AA,10,40
973158,EE,6,EE792,core,AB,9,54
265922,EP,6,EP159,core,BB,8,48
482623,IE,3,IE589,honours,AB,9,27
851029,CSE,8,CSE661,honours,AA,10,80
327122,MM,6,CH453,flexible_elective,AA,10,60
208100,EE,8,EC306,flexible_elective,BB,8,64
461584,EE,4,EP295,department_elective,AB,9,36
608522,EC,4,IE870,hasmed_elective,AA,10,40
381227,CE,6,MA965,alc,AA,10,60
775967,EC,4,EC759,honours,AB,9,36
608522,EC,6,CSE682,hasmed_elective,AB,9,54
750259,MM,4,IE771,alc,AA,10,40
203200,CH,6,CH939,core,BB,8,48
781075,CE,3,MM872,alc,CC,6,18
203200,CH,6,EC241,hasmed_elective,AP,10,60
143856,CE,6,EE491,flexible_elective,AA,10,60
265922,EP,3,MM152,alc,BC,7,21
283796,ME,4,MM719,minor,AA,10,40
608952,EP,6,IE161,flexible_elective,BC,7,42
461584,EE,4,CE479,minor,AA,10,40
588946,MA,4,IE676,alc,BB,8,32
145372,EP,6,IE635,hasmed_elective,CC,6,36
986057,ME,6,CH534,department_elective,CC,6,36
721490,EP,8,MA340,department_elective,CC,6,48
143856,CE,3,IE174,hasmed_elective,AP,10,30
488661,EE,4,CH420,flexible_elective,CC,6,24
626000,EC,4,EC374,honours,AA,10,40
124663,EE,6,EE231,core,AP,10,60
998293,ME,3,ME861,core,BC,7,21
613401,CE,3,EP633,hasmed_elective,BC,7,21
282482,MM,3,IE745,flexible_elective,BB,8,24
928288,CSE,4,MM486,department_elective,BB,8,32
955757,MM,8,MM123,core,BC,7,56
810863,CE,4,IE177,alc,AB,9,36
143856,CE,8,CE255,core,AP,10,80
138296,MM,6,EP242,department_elective,CC,6,36
692318,CSE,6,EP470,hasmed_elective,CC,6,36
379479,MA,4,MA809,honours,AB,9,36
626000,EC,3,CSE128,flexible_elective,BC,7,21
310604,EE,6,MM250,hasmed_elective,BB,8,48
870642,MM,4,MM180,core,AP,10,40
143856,CE,8,CE473,core,AP,10,80
381526,CE,3,EP915,flexible_elective,BC,7,21
879634,EP,4,CE267,minor,CC,6,24
572815,CSE,3,MM627,department_elective,BC,7,21
461584,EE,8,EE285,honours,BB,8,64
521087,CSE,6,CSE473,core,BC,7,42
608952,EP,8,MA910,alc,BC,7,56
358405,MA,8,EE533,alc,AB,9,72
364146,MA,6,MA438,core,BB,8,48
721490,EP,4,CE101,hasmed_elective,AA,10,40
881983,MA,4,CSE727,hasmed_elective,BB,8,32
207443,ME,4,ME305,honours,BB,8,32
381227,CE,4,MM571,flexible_elective,AP,10,40
870642,MM,3,CE299,alc,AA,10,30
971123,MA,4,MA292,honours,AB,9,36
810863,CE,8,EE778,flexible_elective,AA,10,80
703403,EC,8,CE697,department_elective,AP,10,80
207443,ME,8,ME173,core,CC,6,48
845623,EE,8,EE168,core,BC,7,56
485484,MM,4,EP377,flexible_elective,AA,10,40
608522,EC,3,EC123,core,AP,10,30
282482,MM,3,MM253,honours,AP,10,30
955757,MM,6,MM459,honours,AB,9,54
270007,IE,8,MM756,department_elective,CC,6,48
597353,CSE,6,IE368,minor,CC,6,36
845623,EE,4,EP864,minor,BB,8,32
265922,EP,4,EE224,department_elective,AB,9,36
358405,MA,6,EP622,hasmed_elective,CC,6,36
973158,EE,3,IE116,department_elective,AB,9,27
203200,CH,8,CH463,honours,AP,10,80
458200,EC,6,EC136,core,AP,10,60
986057,ME,8,CSE433,hasmed_elective,BB,8,64
608952,EP,3,MA976,alc,BC,7,21
461584,EE,3,CSE686,minor,BC,7,21
294697,MM,8,MM606,honours,AA,10,80
986057,ME,3,IE735,flexible_elective,BB,8,24
482623,IE,4,IE230,honours,AB,9,36
379479,MA,8,MA378,honours,BC,7,56
971123,MA,6,CSE116,hasmed_elective,AB,9,54
981238,MM,8,EP330,hasmed_elective,CC,6,48
881983,MA,8,MA510,honours,AP,10,80
488661,EE,4,EE645,core,AA,10,40
907454,CSE,6,ME164,alc,AP,10,60
597353,CSE,8,CSE856,alc,BB,8,64
847809,IE,8,CE875,alc,CC,6,48
159438,EE,4,CSE772,alc,AB,9,36
270007,IE,3,CE179,flexible_elective,AB,9,27
581858,MA,8,MA245,department_elective,AB,9,72
613401,CE,3,CE422,core,AP,10,30
500658,CE,8,ME937,hasmed_elective,BC,7,56
124663,EE,8,EE420,honours,AB,9,72
973158,EE,3,CH385,alc,BC,7,21
681499,CH,4,CH355,core,BC,7,28
907454,CSE,4,CSE364,core,CC,6,24
388969,CSE,3,CH515,hasmed_elective,BC,7,21
692318,CSE,4,IE545,alc,AB,9,36
879634,EP,8,MA360,flexible_elective,AB,9,72
834515,MA,3,MA947,core,AP,10,30
482623,IE,8,IE719,core,CC,6,48
836431,EE,4,CSE105,flexible_elective,AP,10,40
781075,CE,3,EC670,alc,CC,6,18
716985,MM,3,MM534,core,BC,7,21
465496,MA,3,CE270,minor,AP,10,30
810863,CE,3,ME563,flexible_elective,BC,7,21
703403,EC,3,EE351,alc,BB,8,24
465496,MA,3,CE905,hasmed_elective,BC,7,21
327122,MM,8,MM658,core,AB,9,72
344265,CSE,3,CSE682,honours,CC,6,18
836881,MM,3,EP373,department_elective,AB,9,27
517837,CH,4,MM908,hasmed_elective,BC,7,28
907454,CSE,8,EP592,alc,AB,9,72
283796,ME,6,MM477,department_elective,BB,8,48
716985,MM,3,EP224,department_elective,BB,8,24
194063,EP,3,ME571,hasmed_elective,AB,9,27
194063,EP,4,CE486,hasmed_elective,AA,10,40
145372,EP,3,CE525,hasmed_elective,BB,8,24
362471,EE,8,EE439,core,BC,7,56
572815,CSE,6,EP779,department_elective,CC,6,36
721490,EP,6,EP972,core,AP,10,60
851029,CSE,3,MA786,hasmed_elective,CC,6,18
718510,EP,6,IE483,minor,CC,6,36
488661,EE,4,EC649,department_elective,AB,9,36
488661,EE,8,IE647,flexible_elective,BB,8,64
458200,EC,8,EC377,honours,BC,7,56
143856,CE,6,CE577,core,AB,9,54
960395,EE,4,EE711,honours,AP,10,40
851029,CSE,8,MA631,alc,AA,10,80
138296,MM,8,MM351,core,AB,9,72
781075,CE,4,CE424,department_elective,AA,10,40
214270,CH,4,CH381,honours,AP,10,40
265922,EP,3,CSE829,hasmed_elective,BB,8,24
721490,EP,4,EE598,department_elective,AB,9,36
871746,IE,6,ME647,alc,AP,10,60
834515,MA,6,ME765,flexible_elective,BB,8,48
150503,CH,3,CE177,flexible_elective,AA,10,30
630568,EP,8,ME891,flexible_elective,AP,10,80
608522,EC,4,ME661,department_elective,AB,9,36
845623,EE,4,EE920,core,BB,8,32
478606,CE,6,IE924,department_elective,AP,10,60
391848,ME,3,ME522,core,AP,10,30
834515,MA,3,IE562,department_elective,BB,8,24
207443,ME,6,MA942,hasmed_elective,AP,10,60
143142,CSE,3,EP589,alc,BB,8,24
329535,EC,6,EC262,core,AB,9,54
534763,MA,4,CSE543,minor,BB,8,32
159438,EE,4,CSE888,hasmed_elective,BC,7,28
150503,CH,8,ME536,department_elective,AB,9,72
628849,MA,3,MA356,department_elective,AA,10,30
680096,CH,3,EC639,minor,BB,8,24
485484,MM,3,ME937,flexible_elective,AB,9,27
214270,CH,6,EC322,flexible_elective,CC,6,36
986057,ME,6,MM920,hasmed_elective,CC,6,36
144528,ME,8,ME129,honours,AA,10,80
703403,EC,8,MM120,department_elective,AA,10,80
458200,EC,6,EC932,core,BC,7,42
203200,CH,4,CH667,core,AB,9,36
907454,CSE,6,CE106,minor,AA,10,60
581858,MA,3,MM801,alc,AA,10,30
970791,MA,6,MA672,core,BC,7,42
358405,MA,3,MA335,honours,AA,10,30
388969,CSE,3,CSE957,core,AP,10,30
381227,CE,8,ME162,alc,BB,8,64
836881,MM,6,ME355,department_elective,BC,7,42
782129,MA,6,EE264,department_elective,BB,8,48
836431,EE,8,CSE470,flexible_elective,AA,10,80
847809,IE,6,IE486,honours,AB,9,54
482623,IE,6,CE975,alc,CC,6,36
265922,EP,4,CE825,flexible_elective,CC,6,24
733782,CH,3,CH676,alc,BB,8,24
907454,CSE,6,CE871,hasmed_elective,CC,6,36
970791,MA,6,CSE358,department_elective,BB,8,48
203200,CH,6,MA694,department_elective,AB,9,54
608952,EP,6,EE976,alc,BB,8,48
364146,MA,6,MM567,minor,AB,9,54
265922,EP,3,CE186,department_elective,AB,9,27
981238,MM,6,CH183,alc,AP,10,60
362471,EE,8,EP281,flexible_elective,AA,10,80
465496,MA,4,MA864,core,AB,9,36
265922,EP,8,MM463,flexible_elective,BC,7,56
294697,MM,4,MA174,hasmed_elective,AB,9,36
810863,CE,4,CSE826,flexible_elective,BC,7,28
928288,CSE,8,MA207,hasmed_elective,BC,7,56
836881,MM,6,CH374,minor,BB,8,48
773982,EE,6,CE785,minor,AB,9,54
608522,EC,3,EC764,core,AA,10,30
143856,CE,3,CE672,honours,AP,10,30
810863,CE,8,CE590,core,BC,7,56
986057,ME,4,CH833,minor,BB,8,32
572815,CSE,3,EC232,alc,AB,9,27
478606,CE,4,CE338,department_elective,BC,7,28
150503,CH,4,CE384,hasmed_elective,AP,10,40
282482,MM,4,MM687,honours,AP,10,40
787967,EC,4,EP520,alc,BB,8,32
301135,IE,4,IE840,honours,AB,9,36
928288,CSE,4,EE538,alc,CC,6,24
362471,EE,4,CSE888,hasmed_elective,CC,6,24
680096,CH,6,CH403,honours,BC,7,42
787967,EC,6,IE669,minor,AP,10,60
344265,CSE,3,CH782,minor,BC,7,21
282482,MM,4,ME768,flexible_elective,BB,8,32
301135,IE,8,MM848,alc,BB,8,64
199713,EE,3,CH344,alc,BB,8,24
581858,MA,6,CH934,minor,AA,10,60
388969,CSE,3,MA223,flexible_elective,AA,10,30
203200,CH,6,IE437,department_elective,BB,8,48
692318,CSE,6,MM974,department_elective,CC,6,36
608952,EP,4,EP742,honours,CC,6,24
718510,EP,6,EE912,hasmed_elective,AB,9,54
955757,MM,4,MM288,honours,BC,7,28
327122,MM,4,MM143,honours,AA,10,40
294697,MM,4,ME702,flexible_elective,BC,7,28
582912,CH,3,EC106,alc,BC,7,21
283796,ME,6,EP703,department_elective,AA,10,60
143856,CE,6,MA613,alc,AA,10,60
517837,CH,8,CH351,core,BC,7,56
478606,CE,8,EP905,department_elective,CC,6,48
482623,IE,8,IE900,alc,CC,6,48
364146,MA,3,EP648,hasmed_elective,AP,10,30
613401,CE,8,CSE773,hasmed_elective,BC,7,56
581065,EP,8,CE857,department_elective,BC,7,56
144528,ME,4,EP537,flexible_elective,CC,6,24
788020,CE,4,CSE785,alc,AA,10,40
344265,CSE,3,IE136,hasmed_elective,AA,10,30
971123,MA,8,CE821,hasmed_elective,CC,6,48
981238,MM,8,MM172,core,BB,8,64
841365,MA,4,IE469,flexible_elective,AB,9,36
282482,MM,3,EP498,flexible_elective,AB,9,27
391848,ME,8,IE220,minor,BC,7,56
816041,MA,3,MA880,core,BB,8,24
571782,ME,8,EE151,alc,AA,10,80
718510,EP,8,MM516,minor,AP,10,80
970791,MA,8,CSE586,minor,CC,6,48
572815,CSE,4,CSE926,honours,AA,10,40
124663,EE,8,EC836,department_elective,AP,10,80
955757,MM,6,MA823,alc,BC,7,42
847809,IE,3,ME787,alc,AP,10,30
703403,EC,6,EP738,department_elective,AP,10,60
517837,CH,4,EP886,alc,CC,6,24
344265,CSE,4,CH720,flexible_elective,AA,10,40
485484,MM,6,MM369,flexible_elective,BC,7,42
970791,MA,3,MM966,alc,AB,9,27
608522,EC,4,EC668,core,AP,10,40
344265,CSE,3,CSE405,honours,BB,8,24
608952,EP,8,CSE599,alc,AB,9,72
485484,MM,3,EC626,minor,AB,9,27
775967,EC,6,EP102,minor,BC,7,42
344265,CSE,6,CSE592,department_elective,AB,9,54
381526,CE,6,CE480,department_elective,BC,7,42
138296,MM,4,CE571,minor,BB,8,32
461971,CE,6,CE882,core,CC,6,36
381526,CE,6,CSE216,minor,AA,10,60
144528,ME,4,EP745,alc,CC,6,24
521087,CSE,3,MA115,flexible_elective,CC,6,18
282482,MM,8,CE430,department_elective,BC,7,56
203200,CH,8,CH909,honours,AA,10,80
124663,EE,3,EE321,core,AB,9,27
721490,EP,4,EP404,core,AA,10,40
681499,CH,6,EC930,minor,AA,10,60
150503,CH,4,EE908,hasmed_elective,CC,6,24
970791,MA,4,EP330,department_elective,BC,7,28
199713,EE,6,CH513,hasmed_elective,AB,9,54
143856,CE,4,ME187,hasmed_elective,BC,7,28
888886,CE,8,CE351,core,AP,10,80
388969,CSE,6,EP829,alc,CC,6,36
143142,CSE,6,CSE496,honours,BB,8,48
597353,CSE,4,CSE696,flexible_elective,BB,8,32
816041,MA,6,EC258,minor,BB,8,48
879634,EP,6,EP293,core,BC,7,42
750259,MM,6,EC154,department_elective,AB,9,54
971123,MA,4,CSE895,minor,AA,10,40
203200,CH,4,CE647,department_elective,BC,7,28
597353,CSE,6,MA658,department_elective,CC,6,36
310604,EE,3,ME716,department_elective,BC,7,21
888886,CE,3,CSE205,minor,BB,8,24
327122,MM,3,CSE688,hasmed_elective,AA,10,30
478606,CE,8,MA737,flexible_elective,AA,10,80
870642,MM,3,EC406,alc,BB,8,24
986057,ME,8,ME711,core,AB,9,72
199713,EE,8,CE280,minor,BB,8,64
478606,CE,3,MA957,flexible_elective,AA,10,30
782129,MA,3,ME712,department_elective,AP,10,30
681499,CH,3,ME678,flexible_elective,CC,6,18
716985,MM,8,IE915,flexible_elective,BC,7,56
847809,IE,8,CSE673,alc,AP,10,80
199713,EE,3,EE697,core,BB,8,24
721490,EP,6,EP555,honours,AA,10,60
888886,CE,6,CE658,honours,BC,7,42
144528,ME,3,CH549,hasmed_elective,CC,6,18
703403,EC,8,EP700,alc,AB,9,72
787967,EC,8,IE210,department_elective,AP,10,80
973158,EE,3,EE908,hasmed_elective,BC,7,21
845623,EE,6,EC127,alc,AB,9,54
381526,CE,8,CE662,honours,AA,10,80
928288,CSE,4,CE413,minor,CC,6,24
358405,MA,4,MA570,honours,AP,10,40
716985,MM,4,MM596,core,BC,7,28
379479,MA,6,ME836,alc,BC,7,42
581065,EP,6,EP831,honours,AA,10,60
270007,IE,8,CE823,minor,BC,7,56
775967,EC,4,CSE279,alc,AP,10,40
870642,MM,3,CSE949,hasmed_elective,AB,9,27
847809,IE,8,IE728,core,CC,6,48
750259,MM,3,EP693,hasmed_elective,AB,9,27
478606,CE,4,CSE926,flexible_elective,BC,7,28
138296,MM,3,CH139,alc,BB,8,24
588946,MA,4,CSE240,department_elective,BB,8,32
630568,EP,6,EC729,minor,BB,8,48
301135,IE,6,EP160,department_elective,AA,10,60
144528,ME,3,ME292,flexible_elective,AP,10,30
344265,CSE,8,EE670,alc,AP,10,80
145372,EP,3,EP847,core,AP,10,30
379479,MA,4,EE567,minor,BC,7,28
143142,CSE,4,EC276,minor,BB,8,32
810863,CE,8,MA620,department_elective,AB,9,72
391848,ME,8,EC782,department_elective,AA,10,80
214270,CH,6,CH418,honours,BC,7,42
847809,IE,6,MM769,hasmed_elective,BC,7,42
630568,EP,6,EP291,honours,AB,9,54
888886,CE,6,CE823,honours,CC,6,36
628849,MA,6,MA261,alc,AB,9,54
327122,MM,8,CH911,flexible_elective,BC,7,56
124663,EE,3,EE614,hasmed_elective,AP,10,30
379479,MA,6,MA992,hasmed_elective,AP,10,60
960395,EE,6,EE880,core,AB,9,54
998293,ME,6,MM263,department_elective,AA,10,60
834515,MA,4,MA624,core,BC,7,28
608952,EP,3,EP469,core,AA,10,30
721490,EP,3,ME164,hasmed_elective,AB,9,27
851029,CSE,4,CSE384,core,BC,7,28
703403,EC,3,EC488,honours,CC,6,18
